A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_norm_disp,A1_log10_norm_disp_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_norm_disp,FUS_log10_norm_disp_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_norm_disp,EWSR1_log10_norm_disp_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_norm_disp,TIA1_log10_norm_disp_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_norm_disp,fh_0.02_log10_norm_disp_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_norm_disp,fh_0.14_log10_norm_disp_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_norm_disp,fh_0.22_log10_norm_disp_err
-2.927084585,0.001404576,-1.377952566,0.011593975155310035,-2.929200566,0.001240467,-1.486715062,0.010492927848392833,-2.940554546,0.001200252,-1.776955913,0.009822975,-2.987306933,0.001614451,-1.244294678,0.010133701,-2.90994579,0.002448349,-1.823587517,0.015557183781980226,-2.919389294,0.002376347,-1.901266917,0.012918963248849603,-2.932401026,0.002768292,-1.921350127,0.012726077843042416
-2.858630727,0.001258598,-1.393459815,0.010611637332236669,-2.866989605,0.001184637,-1.489456083,0.010095217402199645,-2.881335356,0.001088631,-1.772639592,0.011045126215038859,-2.914785364,0.001344438,-1.245799299,0.010362246524957019,-2.815662887,0.002455863,-1.811422844,0.014462034505592792,-2.825933585,0.002071965,-1.897774705,0.012322514215230318,-2.845950244,0.001831225,-1.933582478,0.012973856322232613
-2.798996322,0.000971332,-1.411302512,0.010075799906113354,-2.810728962,0.000961718,-1.493539751,0.011094135787174123,-2.829169241,0.001008623,-1.779272066,0.010415580634532323,-2.851937699,0.001230951,-1.275754438,0.010187320880226537,-2.734774132,0.001964262,-1.80374592,0.015845765,-2.755906869,0.001462959,-1.887352656,0.013615982394237275,-2.785944616,0.001697948,-1.960936082,0.012744513822696738
-2.749418793,0.000862857,-1.409431058,0.010143472178847243,-2.763746028,0.000906225,-1.497165058,0.010196018630773457,-2.782435652,0.000844624,-1.797495076,0.010167855330306915,-2.793421607,0.001017779,-1.264076406,0.009927762,-2.663143878,0.001585326,-1.814966724,0.016009734,-2.702005275,0.001411925,-1.887027197,0.013528600246893242,-2.722354713,0.001549892,-1.959821383,0.012409338778347457
-2.708424503,0.000757128,-1.41783173,0.011548026711890407,-2.724191013,0.000761769,-1.49487805,0.009913431,-2.740083417,0.000762774,-1.785266624,0.010561577882546748,-2.745339252,0.000990015,-1.268174633,0.010185076743312605,-2.602122655,0.001349606,-1.82946984,0.013534932997682391,-2.653028309,0.001152704,-1.902199346,0.011774645,-2.670195919,0.001164682,-1.962991548,0.012081863545250636
-2.667657448,0.000838125,-1.406045207,0.010209338200634212,-2.685565627,0.00070735,-1.49027542,0.010472634,-2.701565135,0.000683958,-1.799041022,0.010082304,-2.69582643,0.000877653,-1.287334125,0.009405082,-2.552701301,0.001316112,-1.832889552,0.013418798,-2.609522984,0.001108435,-1.91060545,0.012451769379632252,-2.62974821,0.000949772,-1.942499138,0.011715724371122194
-2.626204849,0.000823433,-1.41348119,0.010209702195966003,-2.649048282,0.000744348,-1.522483745,0.009847917,-2.665875456,0.000673221,-1.779221356,0.010073299,-2.65603159,0.000727607,-1.290676996,0.010779498,-2.508777452,0.000937384,-1.827069593,0.012588643408355053,-2.568800652,0.001005363,-1.901837942,0.012992111170050693,-2.591400387,0.000886787,-1.95350239,0.012998944204363462
-2.591010235,0.000609246,-1.4239141,0.010657371385050119,-2.611494463,0.000713548,-1.521310738,0.010473604655072419,-2.631932136,0.000646702,-1.787485668,0.010754917,-2.620243793,0.000679655,-1.299838998,0.010147145588403244,-2.469898115,0.001074153,-1.77962926,0.015949575430601798,-2.530630534,0.00092656,-1.894226544,0.012454213151129472,-2.557832689,0.000832012,-1.965288546,0.012551654023521049
-2.557351155,0.000717919,-1.430396432,0.010745604888828664,-2.577881459,0.000593912,-1.50804578,0.009596778,-2.59796619,0.000631996,-1.794120763,0.00881918,-2.58289101,0.000804822,-1.288285789,0.009816834,-2.428441929,0.001136196,-1.806912375,0.016887612946351334,-2.495465485,0.00104993,-1.896876599,0.011805751981940216,-2.526947223,0.000846859,-1.995498878,0.012752232814780499
-2.523553872,0.000653368,-1.44729269,0.009190235,-2.548426566,0.000581727,-1.506698771,0.011372380305349284,-2.571440058,0.000493282,-1.799956495,0.009749835,-2.547764358,0.000671308,-1.289009789,0.010441129,-2.383934875,0.000982546,-1.821619316,0.013801275903121687,-2.45943649,0.000796188,-1.908092908,0.013166475468880195,-2.496638752,0.000735375,-1.97452294,0.012938624085907447
-2.492673285,0.000540925,-1.444667891,0.009465764,-2.51780366,0.00060816,-1.509403531,0.01024819,-2.54331285,0.000610286,-1.794848863,0.011093294052138557,-2.516752243,0.000621391,-1.280076604,0.010792532801648776,-2.348118344,0.000924833,-1.760949786,0.018994339902182262,-2.430070905,0.000756859,-1.935630118,0.011941584,-2.468949806,0.000663718,-1.974124234,0.012991349205406203
-2.462716008,0.000609091,-1.445298829,0.010610710104757917,-2.487288132,0.000615611,-1.533372399,0.010429241450961364,-2.513571412,0.000551251,-1.815871431,0.010646244476423636,-2.485662382,0.000607492,-1.293371566,0.010851655095490548,-2.312208898,0.000861469,-1.847661996,0.012403666,-2.403027409,0.000662719,-1.910948813,0.012175679075167579,-2.445610064,0.000671779,-1.978950464,0.011937669040876718
-2.432891996,0.000595203,-1.436128407,0.010061746293972376,-2.459482416,0.000542495,-1.534267987,0.009816221,-2.487309999,0.000527011,-1.830426942,0.00954461,-2.458259041,0.00046702,-1.30743807,0.010694079236935758,-2.28064139,0.000718744,-1.826585099,0.015358994817487726,-2.374282542,0.000737006,-1.916489696,0.014211972,-2.419499341,0.000654638,-1.97071396,0.010555879
