A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-rg-angstrom,A1-LCD-rg-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-rg-angstrom,FUS-LCD-rg-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-rg-angstrom,EWSR1-LCD-rg-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-rg-angstrom,TIA1-LCD-rg-error-angstrom
0.008321615,1.01E-05,29.73130084,0.432631194,0.007990137,1.03E-05,33.28528549,0.488317436,0.00565957,9.56E-06,44.21394268,0.691693497,0.007909734,1.43E-05,25.63748052,0.354719471
0.009018365,1.74E-05,29.66391317,0.418058295,0.008488015,1.05E-05,33.70939695,0.50362064,0.006149773,9.11E-06,44.07479684,0.664989,0.008836529,2.10E-05,26.73625822,0.355099218
0.009890119,1.49E-05,29.68422537,0.45428393,0.009160651,1.48E-05,34.53533851,0.572661545,0.00663396,1.08E-05,43.39822341,0.641395423,0.009919469,2.19E-05,27.32839829,0.389540224
0.010691622,1.78E-05,30.08203276,0.419672521,0.00990795,1.54E-05,33.75767088,0.502287093,0.007162904,1.08E-05,43.91260617,0.656002863,0.011079019,2.17E-05,26.81708334,0.358718888
0.011597353,1.68E-05,30.01557011,0.428033196,0.010721462,1.53E-05,34.60134993,0.523467187,0.007718777,1.11E-05,43.77265637,0.652779083,0.012429623,2.90E-05,27.95271454,0.422271869
0.012554277,1.97E-05,29.74667367,0.425311798,0.011576848,1.83E-05,33.86694103,0.505158637,0.008233225,9.72E-06,45.42066877,0.690501313,0.013924408,3.11E-05,27.08870728,0.376186437
0.013560514,2.10E-05,30.65776909,0.446508549,0.012544927,2.06E-05,33.66988582,0.459486006,0.00877767,1.02E-05,44.08366581,0.651539374,0.015455297,2.83E-05,28.02205256,0.397131384
0.01466581,2.41E-05,30.48695034,0.445174143,0.013652902,2.21E-05,34.91853787,0.449814005,0.009247753,8.75E-06,43.96801341,0.664895251,0.017281162,4.28E-05,27.966606,0.379852662
0.015852882,2.13E-05,30.04357087,0.429584709,0.014729618,2.31E-05,33.99038342,0.510146352,0.009769112,1.21E-05,46.01146872,0.632937988,0.019629357,4.74E-05,26.61868113,0.374914865
0.017015155,2.56E-05,30.37579777,0.452706368,0.015870871,1.92E-05,34.12340017,0.475116996,0.010353016,1.16E-05,45.31334475,0.598594122,0.022404319,5.90E-05,27.12548513,0.363816148
0.018493766,3.19E-05,30.66690036,0.434827099,0.016911965,2.25E-05,35.43905314,0.495153284,0.01095272,1.12E-05,45.34058273,0.701702851,0.025293749,5.79E-05,27.90116915,0.402300865
0.020096152,3.39E-05,31.15019736,0.45907198,0.018169214,2.82E-05,34.9676251,0.49052404,0.011551872,1.24E-05,47.72075812,0.760478888,0.029091334,8.31E-05,27.21129573,0.384577359
0.021776491,3.20E-05,31.70498331,0.481033648,0.019661684,2.90E-05,35.57011265,0.47656692,0.012183288,1.32E-05,46.15538627,0.658462667,0.034116418,0.000116656,27.30384655,0.384355241
0.023465652,3.46E-05,31.4003706,0.450046498,0.021094844,2.79E-05,35.13388726,0.497320864,0.01285241,1.39E-05,45.77403633,0.632453756,0.040892753,0.000143838,27.99309038,0.391780913
0.025295,4.02E-05,31.81819315,0.456910425,0.022734326,3.36E-05,36.32225768,0.535312688,0.013576598,1.47E-05,45.60652204,0.618352642,0.050181824,0.000225728,27.15027528,0.380365817
0.027399527,4.55E-05,31.97914942,0.421568267,0.024461626,3.49E-05,35.041505,0.492338004,0.01430418,1.38E-05,47.52342184,0.685503605,0.066058778,0.00043166,28.02306585,0.421472011
0.029857291,4.90E-05,31.35765321,0.453213322,0.026395005,3.86E-05,34.67339111,0.497865161,0.015028047,1.51E-05,45.53393863,0.600261193,0.116531415,0.002280859,28.57459486,0.410667869
