S4Yx30-clique-rcom-normalized,S9Yx15-clique-rcom-normalized,S12Y3x10-clique-rcom-normalized,S24Y6x5-clique-rcom-normalized,S120Y30-clique-rcom-normalized,Sc_S4Yx30-clique-rcom-normalized,SSYx50-clique-rcom-normalized,YSx75-clique-rcom-normalized,Yx150-clique-rcom-normalized,YYSx50-clique-rcom-normalized
0.234645119,0.186739891,0.267727723,0.233029082,0.74510572,0.450544873,0.336910144,0.277373965,0.304482543,0.183526207
0.302828505,0.300944618,0.298876683,0.213581331,0.163084313,0.263367074,0.287241696,0.269533785,0.254129612,0.230923242
0.20836354,0.215145531,0.346373178,0.244382199,0.088221942,0.319868449,0.260729404,0.242404934,0.255509441,0.128716109
0.308172672,0.297994841,0.334101914,0.154381211,0.175472177,0.287795145,0.289259991,0.154719104,0.243571399,0.222767152
0.206414531,0.241039853,0.201267527,0.506677856,0.207295356,0.454712927,0.208431637,0.150353903,0.299689395,0.218818098
0.310251869,0.304855048,0.305676175,0.513923818,0.194540215,0.326682643,0.2663996,0.222091854,0.302608111,0.206638612
0.222387034,0.257999128,0.258980306,0.189023598,0.538907783,0.399279558,0.25077253,0.221260606,0.306103942,0.239161666
0.198509599,0.302133434,0.252961353,0.236120459,0.209120075,0.571815889,0.293325709,0.06940544,0.241533402,0.239021593
0.246380242,0.174183151,0.227809083,0.434320407,0.186301722,0.197301631,0.1862837,0.14358284,0.319056466,0.166025705
0.198960162,0.319443946,0.23526299,0.516125351,0.146883519,0.197456597,0.274618812,0.27323522,0.25220334,0.154525592
0.234968225,0.236877923,0.316199628,1.06206945,0.210346262,0.212473255,0.174554364,0.284716664,0.271739699,0.272195532
0.16070065,0.218571799,0.270340241,0.39266559,0.146618494,0.226151313,0.22392966,0.324382388,0.187283914,0.220199287
0.203141077,0.193734299,0.368210307,0.18254011,0.156699777,0.472569897,0.335187309,0.241455165,0.184818198,0.15287076
0.324741995,0.271223059,0.235126894,0.173519542,0.15730252,0.274051697,0.32518761,0.22433274,0.27479718,0.216454792
0.306937981,0.187963207,0.241616722,0.278974236,0.090583851,0.334368881,0.275930951,0.261641551,0.208992266,0.263180084
0.27390088,0.308187363,0.337998881,0.285322977,0.559111641,0.225098153,0.290400788,0.158442411,0.267244827,0.262479763
0.262521963,0.16737355,0.280196265,0.457649104,0.205391416,0.159517784,0.217345558,0.243160515,0.240689446,0.263021936
0.245730008,0.21492256,0.336740847,0.550072404,0.156050765,0.606306934,0.218388884,0.312146302,0.222571384,0.139599483
0.212389279,0.349640335,0.197418207,0.927807474,0.193747076,0.243399647,0.234093472,0.166137307,0.136113443,0.154381919
0.244883236,0.188650367,0.383599897,0.181556865,0.167880699,0.262779369,0.251973232,0.347159675,0.224314115,0.22137597
0.237753917,0.263420526,0.183988077,0.209979886,0.136160359,0.168447993,0.254993509,0.298687557,0.245465363,0.201544332
0.36510281,0.207732887,0.235548208,0.368430622,0.097613545,0.281608006,0.245036206,0.300135703,0.245402699,0.199946252
0.31800886,0.211959766,0.263706101,0.215696017,0.075119609,0.293616711,0.277597332,0.295816456,0.304247238,0.188874183
0.272470183,0.102727256,0.238244675,0.152770088,0.191653957,0.325701829,0.111519099,0.249318439,0.247241654,0.198163452
0.146315247,0.121177715,0.204095392,0.096678659,0.140411923,0.150426784,0.261994633,0.280285496,0.2044139,0.099336877
0.126019745,0.210133308,0.238523361,0.530931403,0.202035608,0.239761291,0.225191623,0.199993946,0.292342774,0.237914203
0.123910751,0.165437598,0.237870798,0.350796411,0.220067623,0.257199091,0.143550464,0.334554906,0.276123645,0.184411053
0.242909065,0.111947303,0.26569468,0.25108967,0.147256314,0.482981078,0.203532262,0.185634318,0.158211472,0.220314143
0.221251777,0.280798437,0.172586196,0.251359495,0.218511596,0.374393305,0.23715238,0.284150755,0.311408296,0.158934974
