S4Yx30-clique-timefreq-normalized,S9Yx15-clique-timefreq-normalized,S12Y3x10-clique-timefreq-normalized,S24Y6x5-clique-timefreq-normalized,S120Y30-clique-timefreq-normalized,Sc_S4Yx30-clique-timefreq-normalized,SSYx50-clique-timefreq-normalized,YSx75-clique-timefreq-normalized,Yx150-clique-timefreq-normalized,YYSx50-clique-timefreq-normalized
0.02,0.09,0.16,0.22,0.04,0.115,0.02,0.06,0.025,0.08
0.07,0.06,0.145,0.085,0.025,0.08,0.08,0.075,0.075,0.07
0.045,0.075,0.13,0.23,0.04,0.07,0.11,0.05,0.105,0.065
0.05,0.055,0.13,0.185,0.005,0.105,0.075,0.04,0.11,0.07
0.035,0.03,0.155,0.21,0.535,0.05,0.085,0.07,0.08,0.025
0.08,0.165,0.155,0.23,0.06,0.095,0.06,0.085,0.095,0.115
0.07,0.09,0.105,0.22,0.045,0.08,0.075,0.055,0.085,0.07
0.095,0.095,0.115,0.1,0.145,0.07,0.085,0.06,0.1,0.02
0.12,0.125,0.22,0.075,0.005,0.075,0.075,0.07,0.095,0.05
0.075,0.12,0.13,0.2,0.57,0.08,0.105,0.08,0.035,0.05
0.055,0.065,0.115,0.345,0.565,0.07,0.055,0.1,0.06,0.065
0.075,0.11,0.165,0.22,0.02,0.11,0.075,0.06,0.065,0.035
0.075,0.085,0.15,0.3,0.285,0.145,0.055,0.09,0.075,0.105
0.08,0.09,0.105,0.245,0.29,0.105,0.12,0.05,0.075,0.045
0.07,0.095,0.13,0.16,0.275,0.095,0.06,0.075,0.09,0.045
0.07,0.04,0.135,0.17,0.08,0.13,0.065,0.05,0.09,0.045
0.095,0.085,0.06,0.235,0.46,0.085,0.075,0.07,0.115,0.065
0.05,0.13,0.155,0.03,0.01,0.21,0.11,0.11,0.1,0.095
0.095,0.135,0.12,0.19,0.285,0.165,0.085,0.08,0.045,0.055
0.08,0.13,0.115,0.26,0.315,0.185,0.095,0.1,0.08,0.075
0.08,0.11,0.145,0.37,0.01,0.145,0.05,0.065,0.085,0.1
0.04,0.115,0.175,0.22,0.005,0.14,0.015,0.1,0.095,0.125
0.055,0.11,0.185,0.215,0.145,0.17,0.06,0.05,0.145,0.065
0.055,0.065,0.11,0.17,0.105,0.14,0.085,0.08,0.11,0.035
0.065,0.07,0.13,0.14,0.14,0.135,0.1,0.15,0.095,0.075
0.07,0.06,0.1,0.1,0.315,0.135,0.08,0.095,0.07,0.075
0.095,0.095,0.11,0.215,0.695,0.18,0.115,0.1,0.05,0.03
0.06,0.13,0.14,0.235,0.58,0.17,0.05,0.08,0.11,0.035
0.095,0.16,0.11,0.215,0.76,0.16,0.12,0.08,0.095,0.075
0.075,0.18,0.125,0.235,0.035,0.19,0.075,0.065,0.115,0.08
0.03,0.095,0.17,0.065,0.415,0.18,0.085,0.13,0.085,0.06
0.07,0.1,0.115,0.315,0.1,0.135,0.07,0.035,0.045,0.025
0.065,0.1,0.14,0.365,0.01,0.175,0.08,0.095,0.09,0.04
0.1,0.06,0.14,0.175,0.575,0.18,0.07,0.045,0.075,0.05
0.085,0.095,0.215,0.375,0.26,0.2,0.11,0.06,0.1,0.06
0.06,0.135,0.13,0.185,0.25,0.125,0.07,0.1,0.12,0.055
0.045,0.095,0.145,0.3,0.335,0.11,0.14,0.045,0.065,0.07
0.07,0.13,0.13,0.125,0.145,0.18,0.095,0.085,0.11,0.085
0.06,0.045,0.165,0.285,0.595,0.17,0.05,0.08,0.115,0.085
0.06,0.095,0.13,0.475,0.46,0.245,0.095,0.06,0.06,0.09
0.105,0.09,0.135,0.045,0.735,0.11,0.065,0.11,0.075,0.09
0.045,0.1,0.135,0.445,0.095,0.165,0.115,0.095,0.075,0.105
0.065,0.105,0.145,0.035,0.09,0.215,0.065,0.06,0.07,0.035
0.085,0.095,0.155,0.12,0.035,0.22,0.11,0.03,0.07,0.065
0.075,0.165,0.095,0.375,0.075,0.225,0.12,0.06,0.075,0.045
0.04,0.09,0.165,0.29,0.815,0.225,0.085,0.095,0.12,0.055
0.06,0.06,0.135,0.24,0.24,0.11,0.08,0.08,0.09,0.065
0.05,0.115,0.07,0.26,0,0.17,0.045,0.08,0.16,0.065
0.07,0.11,0.13,0.34,0.03,0.175,0.08,0.07,0.06,0.065
0.06,0.11,0.11,0.385,0.265,0.16,0.07,0.065,0.05,0.075
0.07,0.12,0.12,0.225,0.26,0.16,0.09,0.055,0.095,0.115
0.03,0.115,0.085,0.32,0.065,0.215,0.07,0.07,0.095,0.075
0.09,0.095,0.175,0.175,0.315,0.22,0.11,0.07,0.12,0.06
0.06,0.085,0.145,0.09,0.09,0.13,0.085,0.065,0.09,0.08
0.1,0.11,0.095,0.305,0.005,0.16,0.05,0.085,0.075,0.035
0.055,0.07,0.09,0.285,0.01,0.18,0.085,0.05,0.07,0.045
0.1,0.035,0.12,0.385,0.015,0.175,0.055,0.055,0.1,0.055
0.075,0.13,0.155,0.3,0.185,0.175,0.095,0.06,0.06,0.05
0.075,0.125,0.125,0.38,0.15,0.295,0.105,0.08,0.07,0.06
0.04,0.11,0.175,0.37,0.135,0.13,0.08,0.08,0.075,0.095
0.1,0.095,0.165,0.205,0.115,0.285,0.045,0.065,0.1,0.085
0.045,0.13,0.13,0.2,0.045,0.2,0.09,0.115,0.11,0.085
0.06,0.1,0.155,0.26,0.075,0.14,0.125,0.05,0.065,0.075
0.005,0.095,0.095,0.095,0.01,0.165,0.065,0.06,0.08,0.06
0.03,0.08,0.12,0.24,0.01,0.25,0.09,0.05,0.105,0.085
0.08,0.08,0.075,0.315,0.355,0.135,0.075,0.06,0.15,0.06
0.08,0.095,0.14,0.165,0.19,0.185,0.115,0.07,0.075,0.08
0.025,0.115,0.14,0.425,0.16,0.26,0.08,0.07,0.11,0.03
0.1,0.085,0.1,0.47,0.01,0.2,0.095,0.03,0.115,0.065
0.075,0.18,0.145,0.32,0.005,0.155,0.07,0.065,0.075,0.07
0.095,0.13,0.095,0.3,0.21,0.205,0.095,0.09,0.09,0.065
0.135,0.085,0.155,0.005,0.085,0.19,0.065,0.085,0.055,0.1
0.06,0.06,0.11,0.285,0.06,0.28,0.08,0.07,0.08,0.11
0.085,0.1,0.135,0.22,0.53,0.26,0.06,0.055,0.12,0.065
0.09,0.105,0.215,0.34,0.065,0.165,0.085,0.04,0.11,0.085
0.06,0.07,0.095,0.3,0.53,0.22,0.165,0.06,0.105,0.085
0.08,0.05,0.08,0.325,0.7,0.22,0.105,0.1,0.07,0.1
0.05,0.155,0.125,0.36,0.29,0.26,0.075,0.05,0.09,0.12
0.05,0.09,0.095,0.11,0.185,0.185,0.05,0.025,0.1,0.085
0.075,0.085,0.125,0.09,0.285,0.275,0.105,0.055,0.085,0.13
0.06,0.05,0.18,0.41,0.045,0.145,0.05,0.075,0.105,0.06
0.065,0.135,0.16,0.215,0.16,0.205,0.12,0.105,0.075,0.07
0.08,0.065,0.145,0.275,0.435,0.14,0.08,0.055,0.12,0.085
0.115,0.11,0.185,0.185,0,0.165,0.06,0.07,0.14,0.11
0.05,0.075,0.115,0.36,0,0.275,0.095,0.055,0.11,0.06
0.125,0.125,0.11,0.23,0.02,0.24,0.14,0.12,0.115,0.1
0.13,0.065,0.165,0.28,0.055,0.1,0.145,0.09,0.08,0.1
0.155,0.08,0.12,0.275,0.06,0.165,0.095,0.12,0.085,0.09
0.11,0.115,0.175,0.28,0.175,0.225,0.1,0.09,0.12,0.12
0.17,0.11,0.045,0.3,0.26,0.23,0.105,0.13,0.06,0.17
0.13,0.08,0.145,0.28,0.035,0.2,0.13,0.13,0.105,0.125
0.095,0.11,0.145,0.19,0.015,0.16,0.07,0.075,0.08,0.115
0.115,0.095,0.135,0.4,0.64,0.195,0.095,0.095,0.13,0.14
0.065,0.06,0.14,0.155,0.625,0.16,0.11,0.2,0.095,0.15
0.105,0.1,0.12,0.095,0.045,0.17,0.075,0.1,0.08,0.16
0.115,0.17,0.18,0.17,0.12,0.13,0.115,0.125,0.055,0.15
0.095,0.105,0.15,0.275,0.05,0.25,0.125,0.115,0.055,0.105
0.185,0.1,0.145,0.475,0.01,0.145,0.105,0.195,0.105,0.18
0.115,0.09,0.12,0.23,0.825,0.205,0.13,0.155,0.125,0.165
0.1,0.085,0.18,0.225,0.01,0.155,0.14,0.12,0.12,0.105
0.185,0.19,0.15,0.175,0.04,0.16,0.095,0.135,0.155,0.14
0.085,0.115,0.125,0.02,0.325,0.16,0.19,0.11,0.115,0.11
0.155,0.135,0.08,0.005,0.26,0.23,0.105,0.095,0.115,0.19
0.23,0.165,0.11,0.39,0.585,0.225,0.095,0.13,0.065,0.22
0.16,0.175,0.12,0.02,0.915,0.19,0.115,0.135,0.08,0.165
0.095,0.145,0.1,0.475,0,0.25,0.155,0.165,0.23,0.11
0.11,0.14,0.175,0.26,0,0.24,0.15,0.145,0.175,0.195
0.11,0.13,0.12,0.18,0.48,0.145,0.155,0.175,0.19,0.17
0.11,0.18,0.125,0.365,0.065,0.175,0.105,0.195,0.185,0.18
0.12,0.14,0.165,0.365,0.225,0.16,0.21,0.115,0.15,0.09
0.175,0.19,0.135,0.15,0.09,0.27,0.14,0.21,0.18,0.115
0.14,0.16,0.135,0.075,0.56,0.31,0.175,0.175,0.12,0.065
0.175,0.165,0.145,0.335,0.18,0.27,0.11,0.23,0.175,0.095
0.255,0.15,0.175,0.435,0.255,0.225,0.12,0.18,0.155,0.24
0.17,0.195,0.1,0.02,0.175,0.225,0.235,0.205,0.22,0.135
0.19,0.225,0.175,0.12,0.275,0.19,0.175,0.185,0.14,0.225
0.285,0.2,0.165,0.38,0.1,0.075,0.195,0.215,0.2,0.14
0.13,0.185,0.2,0.44,0.865,0.235,0.195,0.1,0.155,0.33
0.175,0.17,0.165,0.155,0.055,0.165,0.165,0.145,0.165,0.15
0.315,0.175,0.155,0.16,0,0.16,0.22,0.16,0.12,0.175
0.205,0.175,0.165,0.125,0.235,0.24,0.16,0.255,0.155,0.2
0.19,0.16,0.245,0.285,0.405,0.135,0.185,0.285,0.205,0.18
0.21,0.18,0.16,0.145,0.16,0.27,0.15,0.17,0.195,0.28
0.24,0.175,0.17,0.02,0.025,0.205,0.165,0.205,0.28,0.15
0.175,0.24,0.12,0.305,0.02,0.22,0.175,0.275,0.155,0.13
0.07,0.205,0.195,0.225,0,0.21,0.21,0.22,0.175,0.15
0.105,0.22,0.125,0.16,0.505,0.07,0.22,0.27,0.165,0.275
0.11,0.215,0.145,0.165,0.2,0.22,0.215,0.15,0.19,0.165
0.195,0.275,0.15,0.39,0.34,0.225,0.18,0.23,0.175,0.175
0.19,0.17,0.29,0.335,0.31,0.245,0.185,0.3,0.185,0.13
0.17,0.195,0.16,0.185,0.055,0.235,0.175,0.225,0.205,0.21
0.245,0.12,0.21,0.32,0.185,0.34,0.22,0.28,0.235,0.195
0.165,0.21,0.215,0.005,0.49,0.215,0.275,0.225,0.225,0.23
0.22,0.115,0.235,0.1,0.495,0.23,0.17,0.335,0.25,0.2
0.345,0.08,0.145,0.47,0.92,0.155,0.205,0.175,0.225,0.17
0.165,0.155,0.185,0.565,0,0.13,0.155,0.205,0.195,0.21
0.2,0.11,0.24,0.205,0.02,0.14,0.165,0.12,0.315,0.155
0.14,0.26,0.215,0.245,0.46,0.19,0.23,0.3,0.29,0.185
0.27,0.245,0.24,0.29,0.555,0.24,0.25,0.115,0.22,0.2
0.095,0.21,0.125,0.365,0.525,0.17,0.16,0.185,0.285,0.205
0.25,0.2,0.23,0.08,0.99,0.14,0.225,0.17,0.215,0.165
0.125,0.155,0.185,0.245,0.035,0.21,0.175,0.2,0.165,0.22
0.325,0.22,0.17,0.43,0.01,0.185,0.18,0.22,0.185,0.19
0.1,0.135,0.13,0.4,0.335,0.24,0.23,0.09,0.205,0.19
0.07,0.18,0.1,0.32,0.425,0.2,0.14,0.115,0.165,0.12
0.24,0.365,0.2,0.39,0.885,0.235,0.23,0.095,0.23,0.16
0.195,0.15,0.14,0.535,0.165,0.245,0.12,0.185,0.2,0.185
0.155,0.225,0.2,0.285,0.87,0.21,0.185,0.205,0.27,0.22
0.215,0.25,0.225,0.1,0.78,0.195,0.28,0.275,0.15,0.34
0.165,0.33,0.18,0.27,0.25,0.24,0.11,0.225,0.23,0.17
0.28,0.205,0.145,0,0.18,0.195,0.175,0.16,0.235,0.35
0.22,0.195,0.225,0.43,0.29,0.16,0.145,0.255,0.21,0.165
0.17,0.275,0.125,0.545,0.03,0.315,0.13,0.175,0.23,0.19
0.265,0.14,0.225,0.41,0.84,0.26,0.225,0.245,0.285,0.17
0.19,0.205,0.185,0.345,0.29,0.175,0.16,0.255,0.305,0.28
0.205,0.255,0.215,0.245,0.44,0.175,0.33,0.16,0.27,0.13
0.275,0.2,0.18,0.27,0.355,0.345,0.225,0.22,0.185,0.14
0.19,0.21,0.27,0.265,0.235,0.18,0.185,0.2,0.21,0.19
0.345,0.12,0.19,0.34,0.395,0.12,0.305,0.255,0.155,0.165
0.26,0.185,0.215,0.255,0.02,0.21,0.21,0.18,0.255,0.285
0.235,0.125,0.2,0.325,0.06,0.175,0.22,0.135,0.245,0.245
0.195,0.27,0.175,0.01,0.38,0.28,0.165,0.215,0.16,0.25
0.265,0.215,0.255,0.465,0.505,0.225,0.195,0.28,0.21,0.25
0.43,0.18,0.33,0.01,0.435,0.19,0.225,0.19,0.275,0.165
0.22,0.21,0.235,0.185,0.915,0.155,0.16,0.245,0.22,0.115
0.1,0.3,0.175,0.155,0.365,0.17,0.165,0.115,0.215,0.13
0.12,0.225,0.195,0.27,0.515,0.225,0.28,0.275,0.205,0.12
0.285,0.225,0.25,0.265,0.395,0.095,0.31,0.295,0.245,0.155
0.155,0.205,0.03,0.345,0.6,0.195,0.165,0.265,0.175,0.21
0.175,0.335,0.175,0.05,0.465,0.24,0.205,0.16,0.235,0.225
0.185,0.21,0.245,0.01,0.09,0.225,0.13,0.21,0.23,0.195
0.28,0.175,0.26,0.165,0.01,0.275,0.22,0.21,0.22,0.2
0.255,0.23,0.26,0.255,0.02,0.225,0.26,0.12,0.23,0.185
0.295,0.21,0.205,0.5,0.42,0.205,0.245,0.205,0.18,0.25
0.14,0.205,0.21,0.25,0.195,0.15,0.17,0.205,0.33,0.15
0.225,0.24,0.22,0.01,0.22,0.24,0.315,0.075,0.195,0.28
0.26,0.185,0.3,0.17,0.575,0.28,0.205,0.21,0.095,0.245
0.155,0.32,0.155,0.375,0.06,0.205,0.195,0.29,0.235,0.205
0.14,0.19,0.25,0.33,0.285,0.19,0.29,0.135,0.235,0.175
0.195,0.23,0.22,0,0.525,0.28,0.345,0.295,0.27,0.23
0.15,0.255,0.17,0.405,0.48,0.195,0.19,0.225,0.145,0.24
0.175,0.125,0.115,0.375,0.585,0.24,0.45,0.11,0.215,0.165
0.165,0.2,0.165,0.335,0.01,0.225,0.195,0.185,0.055,0.245
0.285,0.165,0.2,0.225,0.045,0.18,0.265,0.265,0.195,0.13
0.225,0.245,0.215,0.22,0.035,0.19,0.16,0.24,0.24,0.3
0.26,0.26,0.205,0,0.53,0.24,0.21,0.225,0.21,0.265
0.24,0.15,0.265,0,0.525,0.235,0.135,0.15,0.23,0.22
0.24,0.175,0.235,0.275,0.18,0.175,0.25,0.165,0.215,0.24
0.165,0.185,0.18,0.29,0.01,0.23,0.25,0.325,0.245,0.245
0.245,0.185,0.215,0.34,0.835,0.22,0.305,0.24,0.17,0.225
0.31,0.14,0.18,0.21,0.315,0.175,0.21,0.195,0.18,0.23
