A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-displacement-angstrom,A1-LCD-displacement-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-displacement-angstrom,FUS-LCD-displacement-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-displacement-angstrom,EWSR1-LCD-displacement-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-displacement-angstrom,TIA1-LCD-displacement-error-angstrom
0.007923352,1.11E-05,24.54418258,0.654497462,0.007999821,1.15E-05,25.78870302,0.666200399,0.005542033,7.03E-06,19.88843973,0.483256184,0.009667149,1.25E-05,29.34112046,0.765537689
0.008503254,1.15E-05,25.36945678,0.625250404,0.008544676,1.10E-05,24.48392935,0.564402513,0.005888598,7.04E-06,19.9401336,0.486011963,0.010372412,1.47E-05,28.68388851,0.66718597
0.009074496,1.12E-05,27.67924035,0.75611794,0.009099,9.36E-06,26.0658917,0.742050529,0.006263264,7.27E-06,19.8853005,0.460545595,0.011145305,1.47E-05,29.69730278,0.819519395
0.009638818,1.16E-05,26.05814815,0.6432986,0.009559956,9.45E-06,25.42531888,0.710927267,0.006642804,7.48E-06,19.92234446,0.469896386,0.011905963,1.59E-05,27.61144716,0.747210279
0.0102794,1.26E-05,25.74276664,0.550274028,0.010093918,1.06E-05,24.99821369,0.582799075,0.007031555,8.12E-06,19.69811954,0.46658672,0.012683098,1.54E-05,29.4039931,0.637033145
0.010867689,1.18E-05,25.21777945,0.601465619,0.010668793,1.19E-05,25.18942812,0.623312943,0.007470471,8.95E-06,19.23961341,0.443654942,0.013512681,1.78E-05,28.07730064,0.738818113
0.011578511,1.54E-05,25.7845639,0.695662495,0.011243395,1.16E-05,22.78804565,0.579288932,0.00790292,8.25E-06,18.69651503,0.415313248,0.01445542,1.90E-05,29.16224657,0.703118962
0.012296812,1.36E-05,24.36557187,0.626018725,0.011866366,1.17E-05,23.75295808,0.609806418,0.008332327,8.20E-06,18.9554956,0.468482595,0.015573108,2.47E-05,28.02391175,0.659085766
0.01303489,1.43E-05,24.33475606,0.675342761,0.012541838,1.43E-05,23.87841227,0.547644105,0.008771791,9.31E-06,18.40102511,0.419139577,0.016735452,2.10E-05,27.02825491,0.673669201
0.013769956,1.59E-05,25.45589742,0.584265401,0.013250961,1.40E-05,23.88044628,0.60659399,0.009252359,9.86E-06,18.44177468,0.419038514,0.017805484,2.07E-05,27.72113221,0.70798038
0.014593429,1.68E-05,25.21607409,0.607883432,0.014002975,1.48E-05,22.56712955,0.531835341,0.009752897,1.06E-05,18.17629397,0.427312841,0.018994134,2.32E-05,26.72599924,0.603627633
0.015511107,1.88E-05,23.31938492,0.557699364,0.01479384,1.45E-05,23.62096739,0.615859518,0.010297378,1.06E-05,18.42272419,0.469973027,0.020310412,2.67E-05,26.06104257,0.615942839
0.016391966,1.83E-05,23.5529853,0.576330068,0.015530902,1.42E-05,23.70969008,0.603915791,0.010867136,1.14E-05,18.29764609,0.411353164,0.021805643,2.89E-05,26.89443298,0.657975902
0.017328457,2.05E-05,23.95400468,0.574391963,0.016343937,1.62E-05,23.29741554,0.580045431,0.011437106,1.08E-05,18.08103772,0.447575697,0.023261081,2.90E-05,26.97374934,0.589641867
0.018336518,2.17E-05,23.59946947,0.552465419,0.017256795,1.89E-05,22.02445093,0.555190952,0.012031416,1.10E-05,17.7771221,0.416610009,0.024799683,3.18E-05,26.36673899,0.602962001
0.019474421,2.31E-05,23.15341949,0.497907354,0.018234679,2.01E-05,23.07416182,0.615057616,0.012608889,1.25E-05,17.00904608,0.373756256,0.026400257,3.21E-05,26.43835644,0.709892352
0.020751321,2.70E-05,23.97074749,0.588236025,0.019346857,2.21E-05,21.53108457,0.516600044,0.013294264,1.53E-05,18.51143301,0.470008162,0.028124776,3.29E-05,24.92435525,0.61228786
0.02204031,2.38E-05,23.19678381,0.510829975,0.020442614,2.20E-05,21.2904679,0.515989042,0.014024371,1.41E-05,17.97786638,0.421261694,0.030200006,4.62E-05,26.57454398,0.596828218
0.023439149,2.94E-05,22.92667869,0.534416349,0.021618566,2.76E-05,21.16697353,0.468318709,0.014781658,1.59E-05,17.22240635,0.421688984,0.032431904,4.59E-05,25.43180009,0.603643944
0.025069048,3.55E-05,22.61433086,0.559896512,0.023094524,2.99E-05,22.08623693,0.515737537,0.015647573,1.75E-05,17.09253042,0.378436582,0.035064548,5.39E-05,26.41583525,0.595999636
0.026857755,3.80E-05,23.14767474,0.536706306,0.024555177,3.29E-05,22.09076695,0.579504843,0.016511945,1.73E-05,16.43196004,0.378164492,0.038113058,6.99E-05,25.26601226,0.606809333
0.028873543,4.71E-05,21.57163579,0.505143302,0.026259118,3.58E-05,20.1468398,0.464025067,0.01749053,2.17E-05,16.78457093,0.421502499,0.04173467,7.89E-05,25.00016267,0.633358721
0.031205336,5.07E-05,21.46868596,0.508832696,0.028204252,3.72E-05,20.93219183,0.498755336,0.018657618,2.33E-05,16.79097392,0.40080295,0.046712316,0.000109985,25.45352244,0.592881874
0.03370478,5.06E-05,21.17446896,0.47760848,0.030272069,4.69E-05,20.73335113,0.470928447,0.019981843,2.96E-05,16.4939353,0.361706449,0.052347728,0.0001215,24.64975371,0.60213941
0.036825904,6.59E-05,21.68053325,0.49777863,0.032900589,5.86E-05,20.78936205,0.458396402,0.021464119,3.13E-05,16.93098535,0.367777068,0.059521461,0.000170807,24.35994601,0.633556229
0.040558617,8.00E-05,21.06579826,0.460841801,0.035869328,6.28E-05,21.09646918,0.496492026,0.022981736,3.03E-05,16.54301697,0.338414886,0.070716065,0.000308782,24.86794123,0.598613848
0.045811731,0.00012514,20.26638481,0.500236384,0.039778748,9.57E-05,20.75461589,0.466562585,0.024771804,3.64E-05,15.98332621,0.370543318,0.099728822,0.001343953,24.03000737,0.568342234
