A1-LCD-clique-rcom-normalized,FUS-LCD-clique-rcom-normalized,EWSR1-LCD-clique-rcom-normalized,TIA1-LCD-clique-rcom-normalized
0.188742402,0.234594114,0.18702165,0.848821163
0.43954334,0.348491131,0.27394884,0.142140095
0.177536758,0.217109475,0.314102866,0.123599722
0.270278268,0.263981546,0.307185628,0.275925331
0.148089829,0.205627249,0.320710897,0.099020046
0.136566541,0.124161341,0.337619033,0.15870347
0.28492877,0.236997584,0.109082244,0.097032423
0.205692639,0.293567999,0.202551938,0.249316911
0.199479512,0.266917764,0.215044097,0.330683236
0.324941931,0.296222018,0.300354965,0.292095481
0.23059892,0.319414329,0.208915672,0.099838013
0.137690578,0.194854457,0.32699266,0.228603954
0.134614213,0.252409027,0.253987156,0.246149216
0.152152226,0.169598828,0.175325695,0.278081108
0.112464702,0.238504321,0.273261166,0.229008927
0.133461765,0.107895808,0.270000279,0.236688069
0.177796475,0.172142094,0.118092202,0.07679098
0.17073749,0.230021258,0.265516064,0.216058464
0.198920781,0.237481332,0.213116423,0.085189457
0.259151164,0.175342616,0.166103198,0.651587563
0.234869966,0.273781931,0.233396497,0.150570951
0.220083959,0.239951263,0.305849607,0.68414653
0.163831057,0.231399276,0.245860543,0.046739736
0.172403031,0.241738985,0.261025309,0.182158985
0.161088633,0.258835458,0.275489389,0.060106905
0.199963381,0.357446232,0.314803291,0.223043619
0.341236474,0.362338607,0.326507651,0.152918358
0.118878833,0.282585124,0.148983737,0.498762838
0.243380147,0.24273477,0.23398237,0.1186696
0.266976348,0.317536943,0.299911743,0.173169186
0.130281601,0.215323798,0.214183435,0.220950561
0.27230599,0.13070318,0.183112334,0.166819433
0.409445437,0.225776197,0.207348108,0.251452053
0.163190545,0.219532369,0.270837017,0.250336634
0.226373826,0.194207897,0.155465827,0.469659
0.171575317,0.148499243,0.207700531,0.059729832
0.143716566,0.2346803,0.313262159,0.21665636
0.177112734,0.341380877,0.225300067,0.240633346
0.236868522,0.275993549,0.214610864,0.268466535
0.188382959,0.2211406,0.347959049,1.109292219
0.276248427,0.194772399,0.206764152,0.144358689
0.300408804,0.279003363,0.286746881,0.148788606
0.170904328,0.065301706,0.262554896,0.308254357
0.193323658,0.200127144,0.339437582,0.209310427
0.195269142,0.261747956,0.203084609,0.188710855
