A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_norm_rg,A1_log10_norm_rg_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_norm_rg,FUS_log10_norm_rg_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_norm_rg,EWSR1_log10_norm_rg_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_norm_rg,TIA1_log10_norm_rg_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_norm_rg,fh_0.02_log10_norm_rg_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_norm_rg,fh_0.14_log10_norm_rg_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_norm_rg,fh_0.22_log10_norm_rg_err
-2.181167725,0.000438888,-1.239794418,0.005753377,-2.213902627,0.00046358,-1.263466839,0.005406391,-2.254019507,0.000421175,-1.392455343,0.00482774,-2.197424333,0.000454896,-1.143855235,0.005811861,-2.008783365,0.000675283,-1.352783477,0.007922416,-2.132549718,0.000701165,-1.380118081,0.007257969,-2.192213165,0.000522016,-1.371922025,0.006657599
-2.159785393,0.000427126,-1.23577118,0.005585113,-2.190539405,0.000485062,-1.277427544,0.00526097,-2.23242233,0.000427623,-1.379020964,0.005924657,-2.172568353,0.000492488,-1.129347776,0.005568726,-1.985905533,0.000634296,-1.361105592,0.007448669,-2.110015421,0.000510863,-1.36566518,0.00750872,-2.170728882,0.000653877,-1.3805627,0.006813276
-2.135080265,0.000519898,-1.229283587,0.004978143,-2.167526615,0.000463895,-1.26448881,0.005360693,-2.210862136,0.000416638,-1.377245865,0.005221697,-2.148666539,0.000444639,-1.127230955,0.005226185,-1.959406787,0.000619927,-1.345275417,0.007805168,-2.088054783,0.000600916,-1.363092107,0.007817638,-2.149949998,0.000456592,-1.395632423,0.006620536
-2.110239019,0.000473137,-1.231891923,0.006183891,-2.142927764,0.000466982,-1.266504767,0.0053726,-2.188526727,0.000491699,-1.379682318,0.005062286,-2.125220416,0.000471282,-1.127418746,0.006174938,-1.936486216,0.000604869,-1.345821003,0.007958139,-2.065812565,0.000513728,-1.365944038,0.006951675,-2.130412977,0.000507811,-1.382842405,0.006567667
-2.086953848,0.000455812,-1.23206646,0.005925178,-2.119303507,0.000479713,-1.254469992,0.005487724,-2.163182711,0.00046258,-1.383020642,0.005610988,-2.104582251,0.00036709,-1.117945534,0.006062977,-1.913188402,0.000637585,-1.359376213,0.007623497,-2.047145815,0.000476761,-1.375568962,0.006365586,-2.110785458,0.000533122,-1.376184108,0.006845504
-2.063241448,0.000486707,-1.226200647,0.005941651,-2.095184963,0.000458517,-1.262388363,0.005166397,-2.140188976,0.00046507,-1.376973179,0.005136112,-2.082652075,0.000461621,-1.115776558,0.00534595,-1.890398331,0.000558967,-1.34505887,0.008881372,-2.027371465,0.000595378,-1.355059794,0.007262007,-2.090800183,0.000540033,-1.378671823,0.006865598
-2.038595444,0.000457044,-1.218153278,0.006080732,-2.071851637,0.000452682,-1.260544375,0.005576363,-2.115645912,0.000452084,-1.373425974,0.005273533,-2.057647297,0.000460023,-1.134878968,0.00580283,-1.869413992,0.000534265,-1.346400883,0.007643679,-2.005565901,0.000535877,-1.349689683,0.007522424,-2.068916095,0.000583268,-1.380580768,0.007282789
-2.013896535,0.000486641,-1.203865625,0.005289447,-2.048755397,0.000449771,-1.262765485,0.005647601,-2.093964664,0.000429016,-1.362542121,0.005532596,-2.035158335,0.000405183,-1.122882495,0.005538598,-1.845858283,0.000672624,-1.332994782,0.006237277,-1.983896717,0.000617799,-1.353362139,0.007044277,-2.046497075,0.000558457,-1.35964675,0.007171135
-1.990989863,0.000418803,-1.208581647,0.00565209,-2.02556497,0.000498567,-1.256095701,0.005412449,-2.069016321,0.000504076,-1.359317004,0.005228534,-2.012422684,0.000529036,-1.108065273,0.005534524,-1.822859566,0.000547456,-1.332163288,0.008146744,-1.962485609,0.000492929,-1.342777373,0.007337504,-2.026496143,0.000516521,-1.378634266,0.007314403
-1.967667545,0.000481798,-1.199193695,0.005407091,-2.00064357,0.000463402,-1.246623212,0.00536224,-2.044029216,0.000503431,-1.357071194,0.005475891,-1.986579288,0.000500675,-1.121142869,0.005849833,-1.801267396,0.000496215,-1.336955247,0.007394742,-1.940391496,0.000710493,-1.35208591,0.007154103,-2.006481793,0.000565544,-1.363816237,0.006936772
