A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_k2,A1_log10_k2_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_k2,FUS_log10_k2_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_k2,EWSR1_log10_k2_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_k2,TIA1_log10_k2_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_k2,fh_0.02_log10_k2_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_k2,fh_0.14_log10_k2_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_k2,fh_0.22_log10_k2_err
-2.181167725,0.000438888,-0.404245645,0.017265408750997965,-2.213902627,0.00046358,-0.415935459,0.015617894395680365,-2.254019507,0.000421175,-0.474522373,0.016578644,-2.197424333,0.000454896,-0.427488082,0.015836428,-2.008783365,0.000675283,-0.43416097,0.026140799601832146,-2.132549718,0.000701165,-0.466619036,0.022638282,-2.192213165,0.000522016,-0.420355595,0.020680141698752617
-2.159785393,0.000427126,-0.385000606,0.017418198612939383,-2.190539405,0.000485062,-0.418665428,0.01719021,-2.23242233,0.000427623,-0.453128373,0.016340126702199313,-2.172568353,0.000492488,-0.390461035,0.015897963,-1.985905533,0.000634296,-0.450954854,0.021199166495647417,-2.110015421,0.000510863,-0.453402359,0.023815008470140626,-2.170728882,0.000653877,-0.461289767,0.02468148
-2.135080265,0.000519898,-0.369413821,0.015293402460628014,-2.167526615,0.000463895,-0.436371811,0.017473976533535766,-2.210862136,0.000416638,-0.446519327,0.015874429716168106,-2.148666539,0.000444639,-0.396494261,0.017060021323180203,-1.959406787,0.000619927,-0.405884062,0.022778368,-2.088054783,0.000600916,-0.433897096,0.020952586949809164,-2.149949998,0.000456592,-0.488410966,0.022489088
-2.110239019,0.000473137,-0.390382982,0.019169815,-2.142927764,0.000466982,-0.429508618,0.015326821,-2.188526727,0.000491699,-0.42674978,0.016332411,-2.125220416,0.000471282,-0.398578728,0.017013722230282396,-1.936486216,0.000604869,-0.397112565,0.024347848972330215,-2.065812565,0.000513728,-0.440167628,0.024474866306927596,-2.130412977,0.000507811,-0.443709517,0.019178546
-2.086953848,0.000455812,-0.412143036,0.016820602772088928,-2.119303507,0.000479713,-0.404639385,0.016390392,-2.163182711,0.00046258,-0.452446721,0.016758176,-2.104582251,0.00036709,-0.374068075,0.015199547320080836,-1.913188402,0.000637585,-0.457770562,0.02334199,-2.047145815,0.000476761,-0.427938712,0.021230012351044762,-2.110785458,0.000533122,-0.40046,0.020548414112381917
-2.063241448,0.000486707,-0.407352874,0.016308678571945876,-2.095184963,0.000458517,-0.437482646,0.015547398491767533,-2.140188976,0.00046507,-0.43011549,0.017330456259476892,-2.082652075,0.000461621,-0.360758335,0.016509146310156986,-1.890398331,0.000558967,-0.415281985,0.022537541,-2.027371465,0.000595378,-0.416349026,0.021103769600361234,-2.090800183,0.000540033,-0.425800662,0.022032933
-2.038595444,0.000457044,-0.397370627,0.015118235794498254,-2.071851637,0.000452682,-0.418015246,0.016560003435373432,-2.115645912,0.000452084,-0.42750215,0.016463721,-2.057647297,0.000460023,-0.401066627,0.016733360365080923,-1.869413992,0.000534265,-0.450629787,0.024335939,-2.005565901,0.000535877,-0.422529474,0.022904077507836983,-2.068916095,0.000583268,-0.421997358,0.023212539269768684
-2.013896535,0.000486641,-0.352194418,0.014241400142145814,-2.048755397,0.000449771,-0.414647416,0.016585904,-2.093964664,0.000429016,-0.421826823,0.016302599672223018,-2.035158335,0.000405183,-0.376844934,0.015446250439772076,-1.845858283,0.000672624,-0.394376296,0.025152305,-1.983896717,0.000617799,-0.417623237,0.021384085046035617,-2.046497075,0.000558457,-0.419471013,0.021662746153544955
-1.990989863,0.000418803,-0.365140809,0.016620906375349527,-2.02556497,0.000498567,-0.410872916,0.015930365,-2.069016321,0.000504076,-0.413130307,0.016279236150461982,-2.012422684,0.000529036,-0.366265935,0.015671524,-1.822859566,0.000547456,-0.408848641,0.024269335,-1.962485609,0.000492929,-0.408400078,0.021980031972690325,-2.026496143,0.000516521,-0.42712215,0.023760248826602666
-1.967667545,0.000481798,-0.36128965,0.016980387069236002,-2.00064357,0.000463402,-0.410927313,0.016105591032078207,-2.044029216,0.000503431,-0.403805077,0.015043775333456053,-1.986579288,0.000500675,-0.389256416,0.015734286674639233,-1.801267396,0.000496215,-0.444686308,0.020509762194119277,-1.940391496,0.000710493,-0.412121859,0.020791207,-2.006481793,0.000565544,-0.446066921,0.022223441
