S4Yx30-clique-timefreq-normalized,S9Yx15-clique-timefreq-normalized,S12Y3x10-clique-timefreq-normalized,S24Y6x5-clique-timefreq-normalized,S120Y30-clique-timefreq-normalized,Sc_S4Yx30-clique-timefreq-normalized,SSYx50-clique-timefreq-normalized,YSx75-clique-timefreq-normalized,Yx150-clique-timefreq-normalized,YYSx50-clique-timefreq-normalized
0.115,0.2,0.225,0.28,0.11,0.19,0.14,0.115,0.19,0.23
0.115,0.185,0.09,0.345,0.16,0.22,0.135,0.225,0.19,0.02
0.025,0.255,0.255,0.265,0.195,0.205,0.235,0.135,0.135,0.165
0.1,0.065,0.235,0.275,0.185,0.18,0.17,0.135,0.13,0.105
0.205,0.25,0.06,0.21,0.485,0.205,0.135,0.18,0.15,0.15
0.165,0.275,0.14,0.27,0.465,0.27,0.215,0.125,0.145,0.135
0.155,0.185,0.235,0.28,0.21,0.255,0.125,0.04,0.165,0.07
0.2,0.02,0.165,0.475,0.12,0.185,0.18,0.255,0.13,0.16
0.13,0.23,0.26,0.27,0.515,0.215,0.245,0.055,0.145,0.03
0.21,0.215,0.105,0.27,0.525,0.215,0.19,0.085,0.205,0.085
0.045,0.245,0.095,0.1,0.085,0.21,0.195,0.26,0.135,0.115
0.105,0.21,0.275,0.27,0.485,0.165,0.125,0.205,0.195,0.11
0.1,0.11,0.12,0.235,0.135,0.27,0.135,0.11,0.185,0.16
0.15,0.005,0.15,0.27,0.105,0.23,0.24,0.135,0.13,0.145
0.09,0.375,0.08,0.21,0.265,0.22,0.14,0.1,0.155,0.075
0.13,0.235,0.24,0.3,0.09,0.145,0.15,0.175,0.12,0.095
0.205,0.16,0.24,0.27,0.12,0.15,0.145,0.15,0.18,0.1
0.075,0.2,0.16,0.4,0.045,0.12,0.225,0.09,0.115,0.05
0.235,0.24,0.22,0.28,0.075,0.255,0.085,0.15,0.175,0.065
0.33,0.145,0.28,0.175,0.055,0.15,0.075,0.16,0.135,0.13
0.09,0.14,0.25,0.33,0.155,0.15,0.165,0.125,0.145,0.16
0.165,0.17,0.135,0.325,0.08,0.28,0.205,0.045,0.215,0.07
0.075,0.245,0.16,0.33,0.17,0.16,0.235,0.065,0.2,0.16
0.045,0.25,0.15,0.315,0.14,0.205,0.17,0.07,0.135,0.16
0.195,0.08,0.205,0.135,0.48,0.12,0.16,0.145,0.205,0.195
0.135,0.1,0.13,0.385,0.585,0.165,0.185,0.295,0.095,0.21
0.15,0.085,0.165,0.2,0.065,0.21,0.18,0.03,0.105,0.235
0.175,0.235,0.3,0.205,0.1,0.23,0.215,0.055,0.1,0.19
0.27,0.29,0.255,0.145,0.5,0.17,0.255,0.205,0.165,0.11
0.255,0.215,0.195,0.33,0.715,0.24,0.085,0.205,0.095,0.16
0.12,0.085,0.315,0.245,0.145,0.25,0.075,0.095,0.135,0.205
0.125,0.22,0.235,0.22,0.36,0.205,0.165,0.105,0.185,0.115
