A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-rg-angstrom,A1-LCD-rg-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-rg-angstrom,FUS-LCD-rg-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-rg-angstrom,EWSR1-LCD-rg-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-rg-angstrom,TIA1-LCD-rg-error-angstrom
0.007923352,1.11E-05,30.14045797,0.453684906,0.007999821,1.15E-05,32.98728077,0.483434089,0.005542033,7.03E-06,42.64027556,0.590191607,0.009667149,1.25E-05,26.94752107,0.388340229
0.008503254,1.15E-05,29.81156513,0.444273085,0.008544676,1.10E-05,33.60848248,0.49987196,0.005888598,7.04E-06,43.05715203,0.575700915,0.010372412,1.47E-05,26.94387657,0.404224418
0.009074496,1.12E-05,28.36752169,0.394680256,0.009099,9.36E-06,33.24630817,0.516762579,0.006263264,7.27E-06,43.19565534,0.55345132,0.011145305,1.47E-05,27.08952811,0.399234467
0.009638818,1.16E-05,29.69247998,0.384486079,0.009559956,9.45E-06,32.94380661,0.4558569,0.006642804,7.48E-06,43.4325015,0.602588472,0.011905963,1.59E-05,26.45189605,0.370306276
0.0102794,1.26E-05,30.81543989,0.413282488,0.010093918,1.06E-05,32.01906597,0.410880179,0.007031555,8.12E-06,44.57079741,0.575938499,0.012683098,1.54E-05,26.67069522,0.337738737
0.010867689,1.18E-05,30.0942727,0.401903946,0.010668793,1.19E-05,34.12409093,0.461510132,0.007470471,8.95E-06,44.95344964,0.619154783,0.013512681,1.78E-05,27.30009183,0.433763253
0.011578511,1.54E-05,29.2583848,0.39448837,0.011243395,1.16E-05,33.16622125,0.506023374,0.00790292,8.25E-06,42.7424195,0.580323945,0.01445542,1.90E-05,26.93368777,0.36271726
0.012296812,1.36E-05,30.172141,0.403307142,0.011866366,1.17E-05,34.24936058,0.484655068,0.008332327,8.20E-06,44.18661676,0.566879561,0.015573108,2.47E-05,27.21163816,0.396292087
0.01303489,1.43E-05,31.37900996,0.470989321,0.012541838,1.43E-05,33.57114418,0.482129335,0.008771791,9.31E-06,44.28464282,0.595848559,0.016735452,2.10E-05,27.80195267,0.378970193
0.013769956,1.59E-05,30.22221902,0.421690375,0.013250961,1.40E-05,34.45689365,0.487042664,0.009252359,9.86E-06,43.70125855,0.585008548,0.017805484,2.07E-05,27.01901611,0.383658673
0.014593429,1.68E-05,29.78962349,0.431805796,0.014002975,1.48E-05,34.14038926,0.468835422,0.009752897,1.06E-05,46.041411,0.610336457,0.018994134,2.32E-05,27.37750318,0.374285603
0.015511107,1.88E-05,31.3200911,0.410387918,0.01479384,1.45E-05,34.46248609,0.512395632,0.010297378,1.06E-05,45.24092798,0.641972376,0.020310412,2.67E-05,27.09662195,0.383631993
0.016391966,1.83E-05,31.04026114,0.458059806,0.015530902,1.42E-05,34.78824461,0.476017384,0.010867136,1.14E-05,44.86728226,0.605013235,0.021805643,2.89E-05,27.99239706,0.41102263
0.017328457,2.05E-05,31.65363411,0.469394585,0.016343937,1.62E-05,34.5136646,0.497029474,0.011437106,1.08E-05,45.45596027,0.639255134,0.023261081,2.90E-05,27.33959232,0.38312395
0.018336518,2.17E-05,32.75983001,0.496290698,0.017256795,1.89E-05,35.93752997,0.537142842,0.012031416,1.10E-05,46.41742987,0.613209217,0.024799683,3.18E-05,26.71545219,0.344115315
0.019474421,2.31E-05,30.99168423,0.45437634,0.018234679,2.01E-05,35.09518693,0.474976142,0.012608889,1.25E-05,46.17427353,0.660478691,0.026400257,3.21E-05,27.25390966,0.387918829
0.020751321,2.70E-05,31.39061384,0.48579323,0.019346857,2.21E-05,34.509358,0.463105773,0.013294264,1.53E-05,45.9500944,0.634835387,0.028124776,3.29E-05,27.80089467,0.403561727
0.02204031,2.38E-05,31.82416748,0.439057128,0.020442614,2.20E-05,35.12253226,0.467732547,0.014024371,1.41E-05,46.72487997,0.661922693,0.030200006,4.62E-05,27.31760531,0.377478055
0.023439149,2.94E-05,31.79066467,0.470892893,0.021618566,2.76E-05,34.87350307,0.500849757,0.014781658,1.59E-05,47.67190746,0.635309739,0.032431904,4.59E-05,28.08914697,0.372893143
0.025069048,3.55E-05,31.39337476,0.45885065,0.023094524,2.99E-05,35.39207162,0.453786583,0.015647573,1.75E-05,47.13934175,0.620458482,0.035064548,5.39E-05,27.57043748,0.385791794
0.026857755,3.80E-05,31.52266204,0.437106068,0.024555177,3.29E-05,35.63184619,0.494938779,0.016511945,1.73E-05,47.84787711,0.676227605,0.038113058,6.99E-05,27.99362031,0.387762473
0.028873543,4.71E-05,32.88216848,0.437510094,0.026259118,3.58E-05,36.46980167,0.501786479,0.01749053,2.17E-05,47.94176657,0.616823961,0.04173467,7.89E-05,27.46015961,0.396038623
0.031205336,5.07E-05,32.39793874,0.474083596,0.028204252,3.72E-05,35.52432629,0.518842857,0.018657618,2.33E-05,48.20705225,0.6975211,0.046712316,0.000109985,28.70319198,0.397624795
