S4Yx30-hub-displacement-angstrom,S9Yx15-hub-displacement-angstrom,S12Y3x10-hub-displacement-angstrom,S24Y6x5-hub-displacement-angstrom,S120Y30-hub-displacement-angstrom,Sc_S4Yx30-hub-displacement-angstrom,SSYx50-hub-displacement-angstrom,YSx75-hub-displacement-angstrom,Yx150-hub-displacement-angstrom,YYSx50-hub-displacement-angstrom
6.317051177,12.05821163,16.36464405,24.35220385,5.830941985,20.68034381,10.7986433,13.17302872,26.83158763,19.80204174
8.993053979,21.0721002,13.44277049,18.62403257,8.364509314,14.3874778,8.525459663,15.91156512,12.70893779,26.16378821
13.8249116,14.56474383,13.96093062,17.1928971,31.99789721,16.47991428,20.21848393,16.96417928,17.06677764,13.68256435
17.96782073,12.08393477,9.139542324,23.99179309,6.041389146,15.07306019,14.13737938,17.06768748,19.19019323,10.57137637
10.69630726,17.89371734,16.19330745,22.56728172,18.0903174,9.616953969,14.99072424,7.407532564,10.64221584,12.50202844
19.04033205,13.21483084,17.24488886,12.50764781,10.932004,20.12900671,15.75345566,19.93059985,19.51563655,11.47589281
11.91252878,10.98646641,6.8786981,20.6914299,12.39455059,17.50892893,29.08945064,15.13350131,21.11189735,19.82991137
15.70798268,8.285144498,21.09121313,20.17334178,14.80298412,14.43085392,14.04488841,8.082021657,11.15854167,9.970043952
24.26169014,9.192499232,24.12808923,19.34355082,7.69343217,7.68987872,16.25229487,10.92028994,21.86261186,20.49833773
16.13744011,10.9739259,24.35522468,10.52721562,23.08936245,13.24856814,23.13659411,9.380350938,15.92651638,17.48282077
7.576445465,10.78579776,16.84194493,14.7100505,9.279580745,19.99007516,11.58546241,17.80902553,15.06493114,10.69209882
15.62154288,9.71603733,30.95906898,4.52566815,6.06044623,5.881180628,14.60399328,24.21932426,10.18297711,18.31595673
21.77022701,12.96279569,10.83206066,11.54183095,11.38595294,24.41825634,7.861802917,13.8763687,19.75324068,21.07459756
15.23652378,6.450497804,21.06689916,22.76645547,7.366256166,16.33258812,20.75512206,17.72045081,19.98401953,12.21401535
16.05605157,13.04876179,13.12024571,17.04670724,18.99969757,25.25837338,15.66674457,15.19933913,8.870614552,14.54764793
14.28819861,11.76572893,24.53685431,22.97252968,6.87674462,14.5619491,16.96217098,15.31545939,14.31949027,12.18861887
13.40229409,15.76311818,6.75494406,22.18268917,17.26080478,15.30251798,16.86377133,18.24739638,19.26853786,17.27882141
18.19519349,9.437131326,11.27528289,19.44040049,7.398459486,8.839395074,14.40418582,14.71636822,18.16037758,22.06695329
18.05223226,10.0682337,11.64921369,19.6162204,6.809985676,21.42443258,14.87722896,6.459394324,16.59141234,41.89666521
15.40347927,15.69001397,17.48568736,16.28171551,7.004502198,3.158396426,12.12049623,14.25492894,16.37779752,13.20705505
11.6852112,3.940974445,23.56150557,17.69650156,10.2645494,20.88410569,17.0385473,18.60272411,23.4233629,15.62784605
19.50306995,11.43550656,11.03658234,7.14622186,20.2382067,9.276297029,18.82625118,16.80312435,17.37932129,16.45686089
11.98174523,10.86373091,18.19679354,21.63246416,8.61890631,19.31040586,15.9625574,12.55701208,11.5377296,20.68532015
16.09424222,10.73914045,12.76042954,15.4374148,15.49062799,17.15198382,9.677377087,16.51616089,25.07373782,7.437349309
17.71786828,24.23234075,22.39501106,22.19831227,14.35566775,15.94099809,26.17743271,15.82472812,20.44154409,26.9613318
20.9235299,18.59319572,15.55022086,8.602722398,6.480111822,11.57944693,35.46123866,13.5014658,19.24351672,22.23007384
10.58534639,20.54791041,12.93025162,14.41325812,21.040226,15.23792172,19.62902518,23.86731281,12.49105579,15.68593351
20.55039646,17.81317899,7.556887664,17.09227773,11.22488249,16.94982532,23.536761,18.43252546,34.44606059,32.62121543
12.22891645,11.268466,21.85055843,10.55786877,14.81856837,18.40046018,9.181013865,9.837027406,14.78818553,15.48989038
12.98702789,14.26325153,12.09953196,21.28612836,7.085045623,8.522865277,12.56700314,16.46776562,32.62300017,19.14279058
11.74020176,23.13702046,15.40047154,20.9425451,9.76751342,10.74751756,12.6300611,8.815907132,21.97452025,12.8853197
16.97291067,11.07714302,15.20202129,17.44788711,4.96122014,8.953344601,11.51591936,20.68501893,18.05621392,12.02657895
11.17536737,21.41225877,11.89460443,15.0722929,8.458959716,18.55677633,30.56531248,16.18217417,21.34935064,15.51166489
21.85968986,16.81775824,28.62107785,9.091937199,16.88811367,21.52267165,15.19946856,15.61493748,21.79838511,14.23132541
11.52329087,16.17430465,31.43537711,17.28005282,12.9473818,21.50633199,14.27008223,20.52744184,23.10119911,18.2898532
15.66195891,6.199727727,16.43909921,12.63058026,9.241240391,11.7433092,18.54947085,23.06402656,11.84176308,8.90902206
16.59079189,9.408445563,19.80188335,17.60515879,24.61240058,15.14986518,17.39485789,18.11007272,6.743404367,22.01530144
16.57285466,26.39343742,13.30382865,15.54696869,13.35146782,7.3859725,9.44821187,13.41839743,18.77258688,20.03196978
19.86005837,8.085886466,12.44168048,10.37797322,19.68016561,9.983051104,11.06176782,14.26099149,17.4285939,17.17054172
10.94240988,11.25601371,19.36317383,16.9304865,16.05511883,13.50671298,24.50078129,23.94898186,23.4402572,11.28710434
15.13095332,16.99915459,20.19582293,12.14424462,7.876638418,26.44934094,13.04114927,21.37805165,22.80338007,38.97839243
15.81930508,9.093927823,10.90287781,15.39186728,16.17064273,10.95155176,9.319408736,7.27288653,20.22756469,21.56840535
20.99028178,12.79912191,16.47338521,15.05015392,11.19682365,15.14377828,17.21743928,16.6928614,21.1908753,8.057537425
18.3385459,14.41414823,14.03263644,16.37806295,9.450456613,14.54434457,20.85447749,22.16407449,24.06752907,15.29888662
17.05749986,11.47715747,26.4961166,10.37579396,10.4541672,27.12349962,13.76312957,11.483434,9.196072056,25.53283629
13.15268115,7.772723285,13.3319437,11.43723702,26.14629169,13.02488499,13.21740399,5.391067288,26.56434681,18.96611417
18.45787346,8.405719223,11.96037098,14.62516794,17.81293535,10.56631778,7.614518529,28.57119722,12.10015303,21.63901919
19.28957796,10.43132207,15.29276705,11.58920888,13.05875336,11.95460339,15.70563814,10.04695174,16.46088472,13.79908615
13.57107082,14.67241627,13.81048896,14.87191503,17.56175075,15.5398787,19.21840135,14.76387029,11.61842106,25.71695324
13.30242239,12.25416327,13.87427489,13.17461772,6.547757161,13.79728303,23.038654,16.97764519,19.32544689,26.43337906
19.13748993,9.338633257,15.02288133,8.826049673,4.791788969,17.44790233,16.1151965,7.032809082,14.25704348,14.05065515
10.04238049,8.372385825,17.66265072,8.778349957,11.44455753,17.09741354,11.46600959,21.1777748,13.04473506,13.88378202
15.62733977,14.30665119,19.40156983,17.32512542,29.93802311,11.0974697,12.51018285,14.6108226,15.52017564,13.12529619
13.86938974,16.95071613,25.64801836,19.23444454,10.11251216,9.604180932,18.69513746,14.56896428,17.46410217,12.68431538
17.10967843,11.86898611,22.10461392,18.52112387,24.1532823,17.24070295,18.27817651,18.58184889,23.36972855,24.57830791
12.73296045,7.561124858,11.99723484,11.37239382,9.830301366,9.195694295,18.08154361,14.03348236,18.57920097,16.644186
13.81230881,11.59426206,17.56143599,16.04111667,22.88070739,9.576946341,23.80461554,18.06497847,31.47743876,22.91324112
24.70862222,10.16926833,25.78360613,24.82942868,8.919840977,13.80761055,18.37889779,13.27407,19.34630223,31.88344297
