S4Yx30-clique-displacement-angstrom,S9Yx15-clique-displacement-angstrom,S12Y3x10-clique-displacement-angstrom,S24Y6x5-clique-displacement-angstrom,S120Y30-clique-displacement-angstrom,Sc_S4Yx30-clique-displacement-angstrom,SSYx50-clique-displacement-angstrom,YSx75-clique-displacement-angstrom,Yx150-clique-displacement-angstrom,YYSx50-clique-displacement-angstrom
16.83056669,14.99889519,31.14969635,19.82722631,17.58977825,20.13881879,15.81705777,35.39482077,36.29119401,31.6800013
15.3302636,20.11154312,34.69778479,15.0502069,18.31967189,19.14121721,26.4033435,21.84160988,25.57021652,12.6687776
16.11377128,11.2033826,31.42483585,16.39890255,23.41384277,25.64861328,10.39745624,20.4257743,23.25649328,28.01539395
22.41074654,27.700715,18.79164096,23.41528086,25.12529505,16.57696843,17.23919038,17.68783911,17.19694987,20.34321033
15.8632527,17.14239968,36.13945739,20.68767255,12.34539669,34.22738019,16.90543802,14.00252504,21.82082874,19.28823144
8.967336733,8.678695964,30.64334795,24.94115587,25.74058331,16.6619912,13.92452805,54.36495245,12.86650172,9.07173265
34.19519817,17.04571546,26.68038403,12.21695094,39.75717513,14.83054696,22.97952786,15.88446143,20.4882609,19.05947254
8.66087122,19.02694586,17.74059809,26.86854238,10.40238602,22.28125342,17.40826497,21.77688279,11.04855487,10.48572133
22.2223939,19.32359367,23.73070858,39.78470078,16.0705182,18.46928381,23.2763504,9.56411768,14.97071556,19.88119963
14.96892192,21.57399619,21.58086483,39.6646058,30.83333974,9.027976171,20.28195427,13.95977389,12.18271265,18.87693705
14.54483978,18.35361591,14.62902029,12.47942258,22.04866419,25.52496042,16.15055228,14.79857243,19.01982199,25.77070806
20.56986638,17.01525653,25.53659658,16.02514707,4.712879854,14.5777427,13.36503785,21.1917149,23.66486268,19.95151729
27.48938362,18.34115413,16.69310167,11.87495663,20.37187688,21.52258559,20.59563354,12.76320393,31.13907462,11.64253723
29.33717914,13.90611735,26.53746264,20.98345766,17.20160565,17.24725143,19.19426259,25.19716995,19.37348993,10.80042648
18.25759317,23.15662679,19.99745757,21.66303447,21.6541071,14.9707023,18.98169547,31.8555222,11.8124193,11.93497024
