A1-LCD-norm-cb,A1-LCD-norm-cb-error,A1-LCD-displacement-angstrom,A1-LCD-displacement-error-angstrom,FUS-LCD-norm-cb,FUS-LCD-norm-cb-error,FUS-LCD-displacement-angstrom,FUS-LCD-displacement-error-angstrom,EWSR1-LCD-norm-cb,EWSR1-LCD-norm-cb-error,EWSR1-LCD-displacement-angstrom,EWSR1-LCD-displacement-error-angstrom,TIA1-LCD-norm-cb,TIA1-LCD-norm-cb-error,TIA1-LCD-displacement-angstrom,TIA1-LCD-displacement-error-angstrom
0.007756912,1.09E-05,39.4999221,1.45531325,0.007378537,1.36E-05,33.02345468,1.048761402,0.005176303,9.68E-06,25.33694343,0.585244096,0.007154422,1.61E-05,36.60358058,0.879704758
0.008321615,1.01E-05,39.14517952,1.320754235,0.007990137,1.03E-05,35.44687023,1.000811025,0.00565957,9.56E-06,25.95621975,0.62439644,0.007909734,1.43E-05,37.03415467,1.06652916
0.009018365,1.74E-05,37.07613872,1.296451033,0.008488015,1.05E-05,35.10543835,0.944706192,0.006149773,9.11E-06,24.79261338,0.669162625,0.008836529,2.10E-05,35.93070541,1.061945591
0.009890119,1.49E-05,33.98544511,0.915382097,0.009160651,1.48E-05,32.62283225,0.883127239,0.00663396,1.08E-05,24.29887698,0.608368911,0.009919469,2.19E-05,35.22721848,0.903719805
0.010691622,1.78E-05,31.88375758,1.206634404,0.00990795,1.54E-05,30.73925173,0.737753308,0.007162904,1.08E-05,23.63244148,0.597692422,0.011079019,2.17E-05,35.05949254,0.899908632
0.011597353,1.68E-05,33.04035536,1.0078146,0.010721462,1.53E-05,30.76167505,0.796938934,0.007718777,1.11E-05,24.88604672,0.600074328,0.012429623,2.90E-05,34.59047384,0.861497505
0.012554277,1.97E-05,33.60602826,0.965435056,0.011576848,1.83E-05,32.36707493,1.089152704,0.008233225,9.72E-06,24.37757736,0.638270961,0.013924408,3.11E-05,35.81324789,1.03938289
0.013560514,2.10E-05,32.834034,1.03679527,0.012544927,2.06E-05,29.96324772,0.667063696,0.00877767,1.02E-05,26.32880367,0.679158693,0.015455297,2.83E-05,35.75589634,1.062783281
0.01466581,2.41E-05,32.26143163,0.996445284,0.013652902,2.21E-05,29.95003139,0.824371367,0.009247753,8.75E-06,27.16165165,0.729199195,0.017281162,4.28E-05,32.97582239,0.81227655
0.015852882,2.13E-05,35.14235691,1.210159603,0.014729618,2.31E-05,30.47536481,0.729069059,0.009769112,1.21E-05,24.37362069,0.603829711,0.019629357,4.74E-05,34.0081132,0.857011824
0.017015155,2.56E-05,33.15785809,0.891227856,0.015870871,1.92E-05,30.88089625,0.819437663,0.010353016,1.16E-05,24.26080544,0.576304491,0.022404319,5.90E-05,33.91694557,0.907212751
0.018493766,3.19E-05,30.1509882,0.801164783,0.016911965,2.25E-05,31.69421195,0.907346853,0.01095272,1.12E-05,24.19794506,0.63613405,0.025293749,5.79E-05,31.93577388,0.803787806
0.020096152,3.39E-05,30.94244023,0.834435368,0.018169214,2.82E-05,30.04472225,0.78642055,0.011551872,1.24E-05,23.61107319,0.548266997,0.029091334,8.31E-05,33.17830222,0.972402455
0.021776491,3.20E-05,33.38159456,1.279903359,0.019661684,2.90E-05,28.74730973,0.67146502,0.012183288,1.32E-05,21.99204911,0.531502905,0.034116418,0.000116656,32.57838809,0.907256135
0.023465652,3.46E-05,33.85504935,1.21025485,0.021094844,2.79E-05,29.55747881,0.770386225,0.01285241,1.39E-05,22.46115892,0.521539776,0.040892753,0.000143838,33.06682519,0.882365044
0.025295,4.02E-05,30.47288729,0.801264483,0.022734326,3.36E-05,28.03430591,0.754843389,0.013576598,1.47E-05,22.63550058,0.550571732,0.050181824,0.000225728,32.14008348,0.760455467
