A1-LCD-hub-displacement-angstrom,FUS-LCD-hub-displacement-angstrom,EWSR1-LCD-hub-displacement-angstrom,TIA1-LCD-hub-displacement-angstrom
28.60334613,43.33507213,19.33438798,55.11050548
26.12683104,41.17336337,25.79611006,38.7107868
15.63775331,29.12863963,19.17852689,34.08113348
24.14493084,30.95516685,24.5555628,30.09535339
31.78318295,42.35486397,9.360003966,57.06892155
33.16955826,18.30091934,16.00772207,23.78897791
40.56877357,14.98138696,36.3171099,39.60777383
30.56819336,11.8624392,15.24773994,44.85015321
24.38899452,41.73362302,15.15259038,25.40953285
24.87775974,32.92463273,19.74782879,31.37695498
24.81281533,30.92334809,15.27117937,30.82621196
17.49723808,27.6556144,12.12490106,37.20833142
35.57923871,16.70528981,18.82615533,30.20995389
34.24656212,14.98769632,17.41616822,31.33045907
22.17482434,34.49352237,11.40829952,27.04551218
30.51510923,22.65526701,24.16486625,100.59135
40.35284463,19.30375039,16.09949062,35.68209686
14.80061428,20.41072579,13.16090824,58.45031305
33.12328467,27.01624147,21.25272914,20.74526066
24.27000746,28.14717348,12.54560126,33.02494656
27.0066403,25.96050935,13.20015489,28.35973753
30.92831904,18.44340776,24.05878582,23.6752537
29.91147843,22.92518014,16.87850899,30.58981607
11.21689475,15.43052911,23.35214381,39.0464514
37.91176493,28.22981407,21.36116768,31.81379013
34.19759792,26.25161195,17.90183487,21.48094725
18.86535721,19.18355319,22.68814365,48.28805713
17.07078469,25.45306421,19.93852222,28.79585002
14.65372651,18.96362264,22.26099906,48.86323678
22.11960318,6.659851636,19.55795517,20.01380946
30.00501154,25.03890228,24.39551368,25.09776919
52.12339415,11.67478328,25.39982974,29.56780765
47.57495927,27.86141811,5.695955348,39.17889951
32.86835445,32.63670988,28.11143371,10.58956603
31.54769282,27.46808811,21.38085001,27.29519219
22.97264156,24.84903957,20.44067778,48.12537011
26.20157942,25.01106448,19.56925585,26.74355246
16.77719128,11.19198537,26.28584269,30.25279992
26.92992175,36.26359395,31.26441444,25.68934922
22.31521537,29.21028286,18.5458174,51.37875721
13.95393134,13.15977426,36.36051645,39.09304541
23.58738828,23.64577261,6.27833751,20.68198435
29.4554808,15.15201231,28.53390164,43.63936817
39.78819878,33.91213093,25.02864708,31.39089619
28.05333836,23.89068508,16.39956847,15.15390559
29.71146132,24.15332969,31.43913247,24.60104419
33.02159451,9.627662603,17.59812308,18.2996259
14.32594978,26.47997392,14.66695526,32.65002851
26.86783578,15.57054813,22.26517065,30.49504344
17.50503754,17.7410517,22.2424859,25.60347961
13.65640843,33.10809341,11.24952475,45.25830703
45.13172375,31.81589771,13.47718103,26.44172332
45.3759571,10.09901552,15.68204863,27.88510196
25.33440099,24.2861185,16.05189466,28.34213234
14.16161899,34.2570923,14.56108571,26.56493867
21.97962663,16.85718119,18.6712923,23.00168078
8.655352419,16.67038337,19.2220524,30.53628912
30.09162303,46.74852346,17.61568771,25.2671971
